Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
imagemounter,forensic ,,Command line utility and Python package to ease the (un)mounting of forensic disk images.,https://github.com/ralphje/imagemounter,BlackArch
imhex,misc ,,"A Hex Editor for Reverse Engineers, Programmers and people that value their eye sight when working at 3 AM.",https://github.com/WerWolv/ImHex,BlackArch
impacket-ba,exploitation ,,Collection of classes for working with network protocols.,https://github.com/fortra/impacket,BlackArch
impulse,dos ,,Modern Denial-of-service ToolKit.,https://github.com/LimerBoy/Impulse,BlackArch
inception,exploitation ,,A FireWire physical memory manipulation and hacking tool exploiting IEEE 1394 SBP DMA.,http://www.breaknenter.org/projects/inception/,BlackArch
indx2csv,forensic ,,An advanced parser for INDX records.,https://github.com/jschicht/Indx2Csv,BlackArch
indxcarver,forensic ,,Carve INDX records from a chunk of data.,https://github.com/jschicht/IndxCarver,BlackArch
indxparse,forensic ,,A Tool suite for inspecting NTFS artifacts.,http://www.williballenthin.com/forensics/mft/indxparse/,BlackArch
inetsim,defensive ,,"A software suite for simulating common internet services in a lab environment, e.g. for analyzing the network behaviour of unknown malware samples.",http://www.inetsim.org/,BlackArch
infection-monkey,networking ,,Automated security testing tool for networks.,https://github.com/guardicore/monkey,BlackArch
infip,scanner ,,A python script that checks output from netstat against RBLs from Spamhaus.,http://packetstormsecurity.com/files/104927/infIP.1-Blacklist-Checker.html,BlackArch
infoga,recon ,,"Tool for gathering e-mail accounts information from different public sources (search engines, pgp key servers).",https://github.com/m4ll0k/infoga,BlackArch
inguma,cracker ,,"A free penetration testing and vulnerability discovery toolkit entirely written in python. Framework includes modules to discover hosts, gather information about, fuzz targets, brute force usernames and passwords, exploits, and a disassembler.",http://inguma.sourceforge.net,BlackArch
injectus,webapp ,,CRLF and open redirect fuzzer.,https://github.com/BountyStrike/Injectus,BlackArch
innounp,reversing ,,Inno Setup Unpacker.,https://sourceforge.net/projects/innounp/files/innounp/,BlackArch
inquisitor,recon ,,OSINT Gathering Tool for Companies and Organizations.,https://github.com/penafieljlm/inquisitor,BlackArch
insanity,exploitation ,,Generate Payloads and Control Remote Machines .,https://github.com/4w4k3/Insanity-Framework,BlackArch
instagramosint,social ,,An Instagram Open Source Intelligence Tool.,https://github.com/sc1341/InstagramOSINT/,BlackArch
instashell,cracker ,,Multi-threaded Instagram Brute Forcer without password limit.,https://github.com/thelinuxchoice/instashell,BlackArch
intelmq,misc ,,A tool for collecting and processing security feeds using a message queuing protocol.,https://github.com/certtools/intelmq,BlackArch
intelplot,recon ,,OSINT Tool to Mark Points on Offline Map.,https://github.com/itsmehacker/IntelPlot,BlackArch
intensio-obfuscator,misc ,,Obfuscate a python code 2 and 3.,https://github.com/Hnfull/Intensio-Obfuscator,BlackArch
interactsh-client,webapp ,,Open-Source Solution for Out of band Data Extraction.,https://github.com/projectdiscovery/interactsh,BlackArch
intercepter-ng,windows ,,"A next generation sniffer including a lot of features: capturing passwords/hashes, sniffing chat messages, performing man-in-the-middle attacks, etc.",http://sniff.su/download.html,BlackArch
interlace,networking ,,"Easily turn single threaded command line applications into a fast, multi-threaded application with CIDR and glob support.",https://github.com/codingo/Interlace/releases,BlackArch
interrogate,forensic ,,"A proof-of-concept tool for identification of cryptographic keys in binary material (regardless of target operating system), first and foremost for memory dump analysis and forensic usage.",https://github.com/carmaa/interrogate,BlackArch
intersect,automation ,,Post-exploitation framework.,https://github.com/ohdae/Intersect.5,BlackArch
intrace,recon ,,Traceroute-like application piggybacking on existing TCP connections,http://intrace.googlecode.com,BlackArch
inundator,misc ,,"An ids evasion tool, used to anonymously inundate intrusion detection logs with false positives in order to obfuscate a real attack.",http://inundator.sourceforge.net/,BlackArch
inurlbr,scanner ,,"Advanced search in the search engines - Inurl scanner, dorker, exploiter.",https://code.google.com/p/inurlbr/,BlackArch
inviteflood,dos ,,Flood a device with INVITE requests,https://launchpad.net/~wagungs/+archive/kali-linux/+build/4386635,BlackArch
invoke-cradlecrafter,automation ,,PowerShell Remote Download Cradle Generator & Obfuscator.,https://github.com/danielbohannon/Invoke-CradleCrafter,BlackArch
invoke-dosfuscation,automation ,,Cmd.exe Command Obfuscation Generator & Detection Test Harness.,https://github.com/danielbohannon/Invoke-DOSfuscation,BlackArch
invoke-obfuscation,automation ,,PowerShell Obfuscator.,https://github.com/danielbohannon/Invoke-Obfuscation,BlackArch
inzider,windows ,,This is a tool that lists processes in your Windows system and the ports each one listen on.,http://ntsecurity.nu/toolbox/inzider/,BlackArch
iodine,tunnel ,,Tunnel IPv4 data through a DNS server,https://code.kryo.se/iodine,BlackArch
iosforensic,forensic ,,iOS forensic tool https://www.owasp.org/index.php/Projects/OWASP_iOSForensic,https://github.com/Flo354/iOSForensic,BlackArch
ip-https-tools,tunnel ,,Tools for the IP over HTTPS (IP-HTTPS) Tunneling Protocol.,https://github.com/takeshixx/ip-https-tools,BlackArch
ip-tracer,recon ,,Track and retrieve any ip address information.,https://github.com/Rajkumrdusad/IP-Tracer,BlackArch
ip2clue,recon ,,A small memory/CPU footprint daemon to lookup country (and other info) based on IP (v4 and v6).,http://kernel.embedromix.ro/us/,BlackArch
ipaudit,networking ,,Monitors network activity on a network.,http://ipaudit.sourceforge.net,BlackArch
ipba2,forensic ,,IOS Backup Analyzer.,http://www.ipbackupanalyzer.com/,BlackArch
ipcountry,misc ,,Fetches IPv4 ranges of given country in host and cidr format.,https://nullsecurity.net/tools/misc.html,BlackArch
ipdecap,networking ,,"Can decapsulate traffic encapsulated within GRE, IPIP, 6in4, ESP (ipsec) protocols, and can also remove IEEE 802.1Q (virtual lan) header.",http://www.loicp.eu/ipdecap#dependances,BlackArch
iphoneanalyzer,forensic ,,Allows you to forensically examine or recover date from in iOS device.,http://www.crypticbit.com/zen/products/iphoneanalyzer,BlackArch
ipmipwn,cracker ,,IPMI cipher 0 attack tool.,https://github.com/AnarchyAngel/IPMIPWN,BlackArch
ipmitool,networking ,,Command-line interface to IPMI-enabled devices,https://codeberg.org/IPMITool/ipmitool,BlackArch
ipobfuscator,misc ,,A simple tool to convert the IP to a DWORD IP.,https://github.com/OsandaMalith/IPObfuscator,BlackArch
ipscan,scanner ,,A very fast IP address and port scanner.,https://github.com/angryip/ipscan,BlackArch
ipsourcebypass,webapp ,,This Python script can be used to bypass IP source restrictions using HTTP headers.,https://github.com/p0dalirius/ipsourcebypass,BlackArch
iptodomain,recon ,,This tool extract domains from IP address based in the information saved in virustotal.,https://github.com/Hackplayers/iptodomain,BlackArch
iptv,scanner ,,Search and brute force illegal iptv server.,https://github.com/Pinperepette/IPTV,BlackArch
iputils,networking ,,"Network monitoring tools, including ping",https://github.com/iputils/iputils,BlackArch
ipv4bypass,networking ,,Using IPv6 to Bypass Security.,https://github.com/milo2012/ipv4Bypass,BlackArch
ipv666,recon ,,Golang IPv6 address enumeration.,https://github.com/lavalamp-/ipv666,BlackArch
ipv6toolkit,scanner ,,SI6 Networks' IPv6 Toolkit.,http://www.si6networks.com/tools/ipv6toolkit/,BlackArch
ircsnapshot,recon ,,Tool to gather information from IRC servers.,https://github.com/bwall/ircsnapshot,BlackArch
irpas,exploitation ,,Internetwork Routing Protocol Attack Suite.,http://phenoelit-us.org/irpas,BlackArch
isf,exploitation ,,An exploitation framework based on Python.,https://github.com/dark-lbp/isf,BlackArch
isip,voip ,,"Interactive sip toolkit for packet manipulations, sniffing, man in the middle attacks, fuzzing, simulating of dos attacks.",https://github.com/halitalptekin/isip,BlackArch
isme,voip ,,"Scans a VOIP environment, adapts to enterprise VOIP, and exploits the possibilities of being connected directly to an IP Phone VLAN.",https://packetstormsecurity.com/files/123534/IP-Phone-Scanning-Made-Easy.12.html,BlackArch
isr-form,recon ,,Simple html parsing tool that extracts all form related information and generates reports of the data. Allows for quick analyzing of data.,http://www.infobyte.com.ar/,BlackArch
issniff,sniffer ,,Internet Session Sniffer.,https://github.com/juphoff/issniff,BlackArch
ivre,recon ,,"Network recon framework based on Nmap, Masscan, Zeek (Bro), Argus, Netflow,...",https://ivre.rocks/,BlackArch
ivre-docs,recon ,,"Network recon framework based on Nmap, Masscan, Zeek (Bro), Argus, Netflow,... (documentation)",https://ivre.rocks/,BlackArch
ivre-web,recon ,,"Network recon framework based on Nmap, Masscan, Zeek (Bro), Argus, Netflow,... (web application)",https://ivre.rocks/,BlackArch
ja3,crypto ,,Standard for creating SSL client fingerprints in an easy to produce and shareable way.,https://github.com/salesforce/ja3,BlackArch
jaadas,scanner ,,Joint Advanced Defect assEsment for android applications.,https://github.com/flankerhqd/JAADAS/,BlackArch
jackdaw,recon ,,"Collect all information in your domain, show you graphs on how domain objects interact with each-other and how to exploit these interactions.",https://github.com/skelsec/jackdaw,BlackArch
jad,reversing ,,Java decompiler,https://varaneckas.com/jad,BlackArch
jadx,decompiler ,,Command line and GUI tools to produce Java source code from Android Dex and APK files,https://github.com/skylot/jadx,BlackArch
jaeles,webapp ,,The Swiss Army knife for automated Web Application Testing.,https://github.com/jaeles-project/jaeles,BlackArch
jaidam,webapp ,,"Penetration testing tool that would take as input a list of domain names, scan them, determine if wordpress or joomla platform was used and finally check them automatically, for web vulnerabilities using two well-known open source tools, WPScan and Joomscan.",https://github.com/stasinopoulos/jaidam,BlackArch
jast,webapp ,,Just Another Screenshot Tool.,https://github.com/mikehacksthings/jast,BlackArch
javasnoop,reversing ,,"A tool that lets you intercept methods, alter data and otherwise hack Java applications running on your computer",https://code.google.com/p/javasnoop/,BlackArch
jboss-autopwn,exploitation ,,A JBoss script for obtaining remote shell access.,https://github.com/SpiderLabs/jboss-autopwn,BlackArch
jbrofuzz,fuzzer ,,Web application protocol fuzzer that emerged from the needs of penetration testing.,http://sourceforge.net/projects/jbrofuzz/,BlackArch
jbrute,cracker ,,Open Source Security tool to audit hashed passwords.,http://sourceforge.net/projects/jbrute/,BlackArch
jcrack,wireless ,,A utility to create dictionary files that will crack the default passwords of select wireless gateways,http://www.thedrahos.net/jcrack/,BlackArch
jd-cli,decompiler ,,Command line Java Decompiler.,https://github.com/kwart/jd-cli,BlackArch
jd-gui,decompiler ,,A standalone graphical utility that displays Java source codes of .class files.,https://github.com/java-decompiler/jd-gui,BlackArch
jdeserialize,webapp ,,"A library that interprets Java serialized objects. It also comes with a command-line tool that can generate compilable class declarations, extract block data, and print textual representations of instance values.",https://github.com/frohoff/jdeserialize/,BlackArch
jeangrey,cracker ,,A tool to perform differential fault analysis attacks (DFA).,https://github.com/SideChannelMarvels/JeanGrey,BlackArch
jeb-android,reversing ,,Android decompiler.,https://www.pnfsoftware.com/jeb/android,BlackArch
jeb-arm,reversing ,,Arm decompiler.,https://www.pnfsoftware.com/jeb/arm,BlackArch
jeb-intel,reversing ,,Intel decompiler.,https://www.pnfsoftware.com/jeb/intel,BlackArch
jeb-mips,reversing ,,Mips decompiler.,https://www.pnfsoftware.com/jeb/mips,BlackArch
jeb-webasm,reversing ,,WebAssembly decompiler.,https://www.pnfsoftware.com/jeb/#wasm,BlackArch
jeopardize,defensive ,,A low(zero) cost threat intelligence & response tool against phishing domains.,https://github.com/utkusen/jeopardize,BlackArch
jexboss,webapp ,,Jboss verify and Exploitation Tool.,https://github.com/joaomatosf/jexboss,BlackArch
jhead,defensive ,,EXIF JPEG info parser and thumbnail remover,http://www.sentex.net/~mwandel/jhead/,BlackArch
jira-scan,webapp ,,A simple remote scanner for Atlassian Jira,https://github.com/bcoles/jira_scan,BlackArch
jndi-injection-exploit,exploitation ,,"A tool which generates JNDI links can start several servers to exploit JNDI Injection vulnerability, like Jackson, Fastjson, etc.",https://github.com/welk1n/JNDI-Injection-Exploit,BlackArch
